Group,Sample
Group_2,M24607MO6_S239
Group_4,M24676MO1_S114
Group_4,M24676MO6_S346
Group_4,M24690MO1_S115
Group_1,M24690MO6_S384
Group_1,M24714MO1_S116
Group_1,M24714MO6_S347
Group_4,M24719MILK_S372
Group_1,M24719MO1_S117
Group_1,M24719MO6_S348
Group_4,M24731MILK_S371
Group_4,M24731MO1_S118
Group_1,M24731MO6_S349
Group_1,M24734MO1_S119
Group_1,M24734MO6_S350
Group_4,M24754MO1_S120
Group_4,M24754MO6_S351
Group_2,M24835MO1_S121
Group_1,M24835MO6_S352
Group_4,M24888MO1_S122
Group_2,M24888MO6_S354
Group_4,M24963MO6_S355
Group_4,M25003MO1_S123
Group_4,M25003MO6_S356
Group_4,M25027MO1_S124
Group_1,M25027MO6_S361
Group_1,M25069MO1_S514
Group_4,M25069MO6_S363
Group_2,M25142MO1_S376
Group_2,M25142MO6_S385
Group_1,M25154MO1_S500
Group_1,M25154MO6_S362
Group_4,M25159MO1_S377
Group_1,M25159MO6_S364
Group_4,M25183MO1_S515
Group_1,M25183MO6_S365
Group_2,M25188MO1_S368
Group_1,M25188MO6_S353
Group_4,M25237MO1_S378
Group_1,M25244MO1_S379
Group_4,M25244MO6_S338
Group_1,M25262MO1_S292
Group_2,M25262MO6_S357
Group_2,M25290MO6_S339
Group_4,M30001MO1_S516
Group_1,M30001MO6_S358
Group_3,M30004MO1_S503
Group_2,M30004MO6_S359
Group_4,M30007MO1_S380
Group_4,M30009MO1_S517
Group_4,M30009MO6_S386
Group_4,M40027MO1_S518
Group_4,M40027MO6_S360
